"caption_type","Has no unnessecary information","Has some unnessecary information","Has a lot of unnessecary information"
"im2txt_low","61.82","26.82","11.36"
"im2txt_high","64.55","19.55","15.91"
"im2txt_combined","65.00","20.45","14.55"
"seq2seq_low","12.73","29.09","58.18"
"seq2seq_high","10.00","26.36","63.64"
"seq2seq_combined","14.09","31.82","54.09"
"neuraltalk_low","64.55","24.55","10.91"
"neuraltalk_high","63.64","18.64","17.73"
"neuraltalk_combined","71.36","14.09","14.55"
"groundtruth_low","71.82","17.73","10.45"
"groundtruth_high","77.27","18.18","4.55"
